,Customer_ID,prediccion,%_proba
3,17457,1.0,0.8471473712155628
4,17590,1.0,0.77645940451085
18,21551,1.0,0.6506745694879812
19,21719,1.0,0.8539561049349667
20,22212,1.0,0.5107472276414292
21,22491,1.0,0.5989246684281837
28,25054,1.0,0.7612282006656153
34,26163,1.0,0.7694408627952597
38,29008,1.0,0.6933141396066587
41,29947,1.0,0.6705520044673217
42,30078,1.0,0.68270111146163
47,31512,1.0,0.6178033434687903
48,31624,1.0,0.8330103702272158
54,32376,1.0,0.9322380762571644
68,35992,1.0,0.7727835636777289
71,36148,1.0,0.8463840566442229
76,37948,1.0,0.5686539047326535
78,38433,1.0,0.8308883953917333
82,39997,1.0,0.5300854145363582
86,41264,1.0,0.8285945386799468
94,43834,1.0,0.5135100836055347
98,44394,1.0,0.5379213824523533
104,45370,1.0,0.5476313274465344
108,45850,1.0,0.5933014397165801
114,46823,1.0,0.5939652305014336
116,47145,1.0,0.7643627913180393
117,47254,1.0,0.6084639054080815
134,53420,1.0,0.883360024485104
135,53489,1.0,0.5230570740541852
138,54038,1.0,0.8312818343327987
144,55672,1.0,0.7580233128460462
146,56347,1.0,0.9548040590181359
150,58006,1.0,0.7138722990907731
152,58716,1.0,0.550147973919281
156,60647,1.0,0.9307368933320735
157,60679,1.0,0.7485890453691012
160,62064,1.0,0.884020994865208
161,62088,1.0,0.7076059922161753
162,62175,1.0,0.608201264204395
165,62943,1.0,0.8830278465156386
170,64576,1.0,0.6980402154931761
173,64859,1.0,0.8267460468859154
181,66841,1.0,0.5088767153429401
188,69575,1.0,0.7796183766510069
190,69807,1.0,0.5938620381606923
194,70761,1.0,0.5730354790955645
198,71726,1.0,0.5838263600229764
199,72422,1.0,0.8922571613745864
200,72743,1.0,0.5018942547722366
203,73906,1.0,0.5223168573539696
204,74214,1.0,0.7802205787188979
206,74295,1.0,0.5328724685656082
207,74455,1.0,0.764502194208079
212,76726,1.0,0.5332791815627317
213,76895,1.0,0.97297235739501
224,79048,1.0,0.6273569221879327
229,79802,1.0,0.6768599249980426
233,80908,1.0,0.64544300987909
236,82859,1.0,0.7646020933610466
237,83106,1.0,0.5698605643394385
246,85045,1.0,0.9794340471387151
247,85596,1.0,0.8118333212505118
251,86449,1.0,0.5597257137681672
255,87067,1.0,0.6510457462526769
259,88263,1.0,0.7513735583401223
260,88643,1.0,0.9140511091591097
265,89566,1.0,0.6196756589592968
269,91090,1.0,0.8214350479139384
273,91972,1.0,0.5700825902690977
285,95944,1.0,0.6686900670710726
288,96629,1.0,0.6631031309391079
290,97947,1.0,0.7718133875156883
296,100106,1.0,0.601026977681832
297,100167,1.0,0.7487901751721456
303,102451,1.0,0.9706466526706706
304,102614,1.0,0.6067546345109045
307,103330,1.0,0.6099216232962776
309,103659,1.0,0.50848032668894
316,105875,1.0,0.5666503444663278
327,108302,1.0,0.5030906172070728
331,109252,1.0,0.5960725089720996
334,109796,1.0,0.6906197143546898
335,110140,1.0,0.9599214535576666
337,110831,1.0,0.5434562128648844
340,111201,1.0,0.706094449146518
343,112379,1.0,0.6652264773508304
350,114734,1.0,0.5686787709368363
352,114850,1.0,0.5280911529672709
357,115464,1.0,0.6817550192508441
358,115529,1.0,0.6934841066923045
361,115702,1.0,0.5113001192391231
362,115858,1.0,0.7006296347179308
365,116287,1.0,0.5290067668052549
371,117758,1.0,0.5065610152198557
373,118094,1.0,0.9500848044496314
378,119776,1.0,0.8154373517093235
381,120000,1.0,0.609656439355203
385,121248,1.0,0.6692984562348594
386,121363,1.0,0.6343980062874499
393,122614,1.0,0.6273733992720217
400,124379,1.0,0.5265690667381941
404,124852,1.0,0.6025240691307552
406,125189,1.0,0.5145937603255487
407,125217,1.0,0.6638560746688471
408,125770,1.0,0.8231247405627896
411,127431,1.0,0.9816268143395255
414,128298,1.0,0.7188614851197255
419,129077,1.0,0.8814414234446298
421,129742,1.0,0.7001095476348761
422,130522,1.0,0.9382649606777693
423,130625,1.0,0.7938722627575288
425,131601,1.0,0.588190208065726
426,131627,1.0,0.5705921031210757
429,132399,1.0,0.6122622486593453
437,133287,1.0,0.8822763041431129
438,133490,1.0,0.8969839188532406
440,133933,1.0,0.6151308664219505
442,134237,1.0,0.635362114605231
443,134537,1.0,0.9445650150630712
446,135209,1.0,0.5513443838707196
447,135309,1.0,0.7302588389887332
449,135553,1.0,0.5681729277822176
451,136763,1.0,0.5602960784271823
452,137345,1.0,0.9915428731787469
453,137647,1.0,0.9641915933340646
455,137722,1.0,0.5641064018740243
465,140021,1.0,0.81011828039356
471,141495,1.0,0.8016164853559835
472,142092,1.0,0.740400251783361
475,142390,1.0,0.5058413016796142
482,144891,1.0,0.7201550455693134
487,145221,1.0,0.5381277230791018
488,145271,1.0,0.6180226384626959
490,145807,1.0,0.8492157561184999
493,147454,1.0,0.8772836923454094
494,148018,1.0,0.8357955164581268
499,148817,1.0,0.5185702092145197
502,149278,1.0,0.8240451248088015
507,149771,1.0,0.6063629367690823
511,151138,1.0,0.5226195819472367
513,151516,1.0,0.7331823559316701
522,152878,1.0,0.6323328615266515
528,153966,1.0,0.5051032088005101
530,154294,1.0,0.5509039155002212
531,154334,1.0,0.7915880103844188
532,154399,1.0,0.9503582720437839
533,154511,1.0,0.6434270737364209
