,Customer_ID,prediccion,%_proba
13,20333,1.0,0.5211080912273299
17,21719,1.0,0.6381021630907158
32,29008,1.0,0.6482839187050051
53,35843,1.0,0.9227722050325762
56,36148,1.0,0.7750452913985513
61,38433,1.0,0.65184327010297
68,41264,1.0,0.7343331232802609
116,60679,1.0,0.9450423977519191
119,61578,1.0,0.6467117472798668
124,64535,1.0,0.5184350937025439
128,64859,1.0,0.6242481231467651
160,76895,1.0,0.7923967705228794
161,77018,1.0,0.7170087802473522
173,79841,1.0,0.5847561260878305
189,85045,1.0,0.8266812577914897
201,88643,1.0,0.7438938430840228
213,91532,1.0,0.8393835770970917
239,102451,1.0,0.6153464431919341
247,103929,1.0,0.7194215984530347
267,110140,1.0,0.8724053941505541
272,111201,1.0,0.5911181724039426
275,112379,1.0,0.5454795557855686
287,115529,1.0,0.5576617320855267
303,118094,1.0,0.7984624838796729
307,119776,1.0,0.5728949622444598
335,125050,1.0,0.710436084988938
347,129077,1.0,0.7550960977913103
349,130522,1.0,0.8862532454550875
359,133108,1.0,0.6880023857104115
363,133490,1.0,0.9464474662172909
365,133933,1.0,0.9390802895075537
375,137345,1.0,0.8914561967152925
386,140021,1.0,0.7042802819204735
407,145807,1.0,0.7077649656574698
410,147454,1.0,0.8326179922014388
415,148997,1.0,0.5182685595369199
422,150764,1.0,0.8847845974376539
441,154399,1.0,0.8081375114557032
453,158366,1.0,0.6374440821456304
465,161739,1.0,0.5021283454839117
496,170303,1.0,0.7063670352240993
504,173293,1.0,0.5713671640226933
505,173663,1.0,0.7092797715633299
514,175429,1.0,0.8829928640883247
538,180438,1.0,0.7669694048430725
543,183536,1.0,0.7873527335332089
552,186143,1.0,0.5383689089713677
555,186486,1.0,0.5528627736141156
565,188462,1.0,0.5278665160018539
591,195183,1.0,0.6438942520197664
592,196037,1.0,0.5553374258688643
613,200977,1.0,0.5324206145720204
617,201633,1.0,0.800487961289339
620,201782,1.0,0.8077310397674899
623,202017,1.0,0.732737548869883
633,204409,1.0,0.6713185075538141
640,206103,1.0,0.9636236778331376
657,209882,1.0,0.5617914047292033
665,212284,1.0,0.7510691817017564
671,215680,1.0,0.5027491713583514
672,215847,1.0,0.5683035012917133
681,218007,1.0,0.7225117439042139
685,218527,1.0,0.5721456036048959
694,220804,1.0,0.6178635933135848
705,223524,1.0,0.6407521129988936
706,223640,1.0,0.9304618084090202
708,223933,1.0,0.7922393565578476
719,227471,1.0,0.5470176503286679
729,231986,1.0,0.6758127544780355
778,253237,1.0,0.5397322499137763
792,259126,1.0,0.5116275093936923
799,260206,1.0,0.7099178885871846
816,263685,1.0,0.642977078756202
817,263977,1.0,0.7834578751070149
821,265377,1.0,0.6697062218493008
824,265726,1.0,0.8022667518669823
825,265767,1.0,0.7512163636865866
844,273750,1.0,0.6907351950308563
845,273907,1.0,0.7230897410331705
847,274360,1.0,0.9678878134684636
850,276033,1.0,0.5768424344125468
855,279050,1.0,0.5981276434030124
884,292356,1.0,0.5692184122152443
887,292537,1.0,0.6604790120637484
940,310852,1.0,0.6613967615133745
968,319379,1.0,0.7271251368419707
971,320576,1.0,0.6302187203954864
972,320690,1.0,0.8358950168948639
989,326267,1.0,0.6773336287912342
993,327445,1.0,0.865121178597169
1004,330108,1.0,0.7680442789422413
1007,330595,1.0,0.7461044961980331
1014,331251,1.0,0.7647836355052952
1016,332532,1.0,0.7645554822866644
1028,335639,1.0,0.5867401128364554
1053,345342,1.0,0.5095187797950868
1069,349777,1.0,0.7036273966822086
1082,354111,1.0,0.6024980783366162
1083,354115,1.0,0.5507884233070548
1100,361517,1.0,0.7308267035420374
1103,362277,1.0,0.8187580209454832
1107,363203,1.0,0.7144661961827172
1110,364808,1.0,0.6558938001606083
1116,366748,1.0,0.6608519905606184
1142,376562,1.0,0.7639154529040767
1155,380145,1.0,0.6345286831186981
1164,384337,1.0,0.5724587946481481
1178,386979,1.0,0.5322690853616538
1184,389204,1.0,0.7213513287782141
1205,395110,1.0,0.6389885635795021
1223,400368,1.0,0.8045480856497901
1227,401103,1.0,0.7198988240879267
1237,404481,1.0,0.7548854229394587
1240,405205,1.0,0.5759485105918348
1242,405567,1.0,0.6981404685026101
1243,405786,1.0,0.6614042912658266
1269,411946,1.0,0.9759260925036215
